DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),month,day,hour,minute,GloblRad_daily,GloblRad_hourly,dbm,仰角
2024-04-21 16:30:00,5.0,1.14,1004.55,34.16,51.19,30410.88,155.57,4,21,16,30,21.4,1.7,-5.0,33.08
2024-04-21 16:40:00,5.0,1.19,1004.63,34.23,50.79,25631.0,93.4,4,21,16,40,21.4,1.7,-5.0,30.18
2024-04-21 16:50:00,5.0,0.72,1004.69,33.84,52.04,18820.75,42.24,4,21,16,50,21.4,1.7,-5.0,27.22
2024-04-21 17:00:00,5.0,0.94,1004.72,32.68,54.73,11643.83,16.75,4,21,17,0,21.4,0.8,-5.0,24.22
2024-04-21 17:10:00,5.0,0.68,1004.75,31.37,58.79,5747.25,4.02,4,21,17,10,21.4,0.8,-5.0,21.18
2024-04-21 17:20:00,5.0,0.31,1004.95,30.62,61.46,4419.92,2.71,4,21,17,20,21.4,0.8,-5.0,18.11
2024-04-21 17:30:00,5.0,0.12,1005.07,30.2,62.98,3692.84,2.14,4,21,17,30,21.4,0.8,-5.0,15.0
2024-04-21 17:40:00,5.0,0.31,1005.07,30.15,63.48,3299.5,2.08,4,21,17,40,21.4,0.8,-5.0,11.87
2024-04-21 17:50:00,5.0,0.0,1005.1,30.28,63.16,2035.25,0.9,4,21,17,50,21.4,0.8,-5.0,8.72
2024-04-21 18:00:00,5.0,0.19,1005.31,29.88,64.64,914.67,0.25,4,21,18,0,21.4,0.1,-5.0,5.56
2024-04-21 18:10:00,5.0,0.23,1005.36,29.38,66.22,416.5,0.07,4,21,18,10,21.4,0.1,-5.0,2.38
2024-04-21 18:20:00,5.0,0.19,1005.37,29.21,66.86,106.58,0.0,4,21,18,20,21.4,0.1,-5.0,0.0
2024-04-21 18:30:00,5.0,0.38,1005.44,28.85,68.17,26.39,0.0,4,21,18,30,21.4,0.1,-5.0,0.0
2024-04-22 05:10:00,5.0,0.05,1004.63,23.79,83.46,58.15,0.0,4,22,5,10,15.6,0.0,-5.0,0.0
2024-04-22 05:20:00,5.0,0.25,1004.5,23.76,82.91,271.42,0.02,4,22,5,20,15.6,0.0,-5.0,0.0
2024-04-22 05:30:00,5.0,0.0,1004.51,23.79,83.07,877.08,0.18,4,22,5,30,15.6,0.0,-5.0,1.27
2024-04-22 05:40:00,5.0,0.0,1004.54,24.19,81.88,2410.58,1.27,4,22,5,40,15.6,0.0,-5.0,4.44
2024-04-22 05:50:00,5.0,0.02,1004.62,24.9,79.04,4495.58,4.25,4,22,5,50,15.6,0.0,-5.0,7.61
2024-04-22 06:00:00,5.0,1.1,1004.75,25.35,76.91,5588.0,5.9,4,22,6,0,15.6,0.0,-5.0,10.76
2024-04-22 06:10:00,5.0,0.65,1004.81,25.7,75.86,7205.34,9.24,4,22,6,10,15.6,0.0,-5.0,13.89
2024-04-22 06:20:00,5.0,0.62,1004.79,26.38,72.53,8199.75,11.96,4,22,6,20,15.6,0.0,-5.0,17.0
2024-04-22 06:30:00,5.0,0.45,1004.73,28.33,65.91,11999.17,24.96,4,22,6,30,15.6,0.0,-5.0,20.09
2024-04-22 06:40:00,5.0,0.5,1004.65,33.23,49.83,13756.58,31.18,4,22,6,40,15.6,0.0,-5.0,23.14
2024-04-22 06:50:00,5.0,0.75,1004.88,34.43,46.0,18300.75,55.05,4,22,6,50,15.6,0.0,-5.0,26.15
2024-04-22 07:00:00,5.0,0.19,1005.04,37.92,38.56,23102.17,92.9,4,22,7,0,15.6,0.4,-5.0,29.11
2024-04-22 07:10:00,5.0,1.72,1005.24,38.21,36.43,24519.92,115.99,4,22,7,10,15.6,0.4,-5.0,32.03
2024-04-22 07:20:00,5.0,0.96,1005.11,38.31,36.14,20863.5,87.21,4,22,7,20,15.6,0.4,-5.0,34.9
2024-04-22 07:30:00,5.0,0.85,1005.07,36.89,37.8,24464.75,125.57,4,22,7,30,15.6,0.4,-5.0,37.71
2024-04-22 07:40:00,5.0,0.46,1005.16,38.36,35.6,27570.67,180.25,4,22,7,40,15.6,0.4,-5.0,40.46
2024-04-22 07:50:00,5.0,0.26,1005.2,39.88,32.8,30411.67,225.09,4,22,7,50,15.6,0.4,-5.0,43.14
2024-04-22 08:00:00,5.0,0.27,1005.25,40.0,31.28,28538.17,224.68,4,22,8,0,15.6,1.2,6.0,45.74
2024-04-22 08:10:00,5.0,0.21,1005.26,40.0,28.46,28023.83,351.36,4,22,8,10,15.6,1.2,-5.0,48.28
2024-04-22 08:20:00,5.0,0.55,1005.26,40.0,24.5,31692.25,522.59,4,22,8,20,15.6,1.2,-5.0,50.73
2024-04-22 08:30:00,5.0,0.78,1005.24,40.0,22.55,37281.85,691.74,4,22,8,30,15.6,1.2,-5.0,53.1
2024-04-22 08:40:00,5.0,0.75,1005.21,40.0,20.94,39998.54,692.61,4,22,8,40,15.6,1.2,-5.0,55.38
